system_id,ligand_instance_chain,lddt_pli,rmsd,failure_mode,n_chains,n_metals,metal_types,n_modified_res,modified_res,autodock_vina_8_ok,autodock_vina_32_ok,qvina_w_ok,quickvina2_ok,vina_gpu21_ok,vina_cuda_ok,autodock_gpu_ok,vina_meeko_ok,vinardock_meeko_ok
8baj__1__1.A__1.B,1.B,0.2148717939853668,5.9172892570495605,far,1,0,,0,,False,True,False,False,False,False,False,False,False
8bgt__1__1.A_2.A__2.D,2.D,0.0825864300131797,10.905930519104004,far,5,0,,0,,True,False,False,False,False,False,False,False,False
8blt__1__1.A_1.B__1.I,1.I,0.7085034251213074,2.8616230487823486,moderate,2,0,,0,,True,True,False,False,False,False,False,False,False
8bo4__1__1.A__1.C,1.C,0.1918326765298843,13.010581016540527,far,1,0,,0,,True,False,False,False,False,False,False,False,False
8br6__1__1.A__1.C,1.C,0.8118728995323181,2.106949806213379,close-but-not-quite,1,0,,2,"SEP,TPO",False,True,False,False,False,False,False,False,False
8c6n__1__1.A__1.B,1.B,0.2307692319154739,7.509720325469971,far,1,0,,0,,False,True,False,False,False,False,False,False,False
8c6p__1__1.A__1.B,1.B,0.2446546107530594,8.317667961120605,far,1,0,,0,,False,True,False,False,False,False,False,False,False
8c6q__1__1.A__1.C,1.C,0.3627373278141022,7.042983531951904,far,1,0,,0,,True,False,False,False,False,False,False,False,False
8ceq__1__1.A__1.C,1.C,0.794804573059082,2.3231263160705566,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
8ces__1__1.A__1.C,1.C,0.7142857313156128,2.5159621238708496,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
8cev__1__1.A__1.C,1.C,0.7529633641242981,2.669407367706299,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
8chk__1__1.A__1.D,1.D,0.2681818306446075,5.39907693862915,far,1,0,,0,,True,True,False,False,False,False,False,False,False
8cou__1__1.A__1.V,1.V,0.4606353640556335,3.8396637439727774,far,1,0,,0,,False,True,False,False,False,False,False,False,False
8cov__1__1.A__1.D,1.D,0.2819940447807312,7.1764655113220215,far,1,0,,0,,False,True,False,False,False,False,False,False,False
8cpb__1__1.B__1.H,1.H,0.0478087663650512,11.510578155517578,far,1,0,,0,,True,False,False,False,False,False,False,False,False
8d6c__1__1.A__1.F,1.F,0.7113434672355652,1.9387385845184328,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
8dsm__1__1.A_1.B__1.J,1.J,0.641201913356781,2.37528920173645,moderate,2,0,,0,,True,False,False,False,False,False,False,False,False
8dv7__1__1.B__1.D,1.D,0.7614200711250305,3.0673182010650635,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
8eq9__1__1.A__1.B,1.B,0.7679135799407959,2.2665696144104004,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
8fm7__1__1.A__1.K,1.K,0.7808728218078613,1.603083252906799,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
8fm8__1__1.A__1.K,1.K,0.0905365124344825,11.638495445251465,far,1,0,,0,,True,True,False,False,False,False,False,False,False
8fwz__1__1.B__1.E,1.E,0.4952456355094909,5.340692520141602,far,1,0,,0,,False,True,False,False,False,False,False,False,False
8fx2__1__1.B__1.D,1.D,0.0600987933576107,9.641927719116213,far,1,0,,0,,True,True,False,False,False,False,False,False,False
8fx3__1__1.B__1.D,1.D,0.0311918072402477,11.887086868286133,far,1,0,,0,,True,True,False,False,False,False,False,False,False
8gfd__1__1.A__1.B,1.B,0.2276286333799362,8.084792137145996,far,1,0,,0,,False,True,False,False,False,False,False,False,False
8gfs__1__1.A__1.B,1.B,0.5514403581619263,4.006620407104492,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
8gyd__1__1.A_1.B__1.K,1.K,0.1202848330140113,8.994333267211914,far,2,0,,0,,False,True,False,False,False,False,False,False,False
8haq__1__1.A__1.C,1.C,0.689393937587738,3.8308937549591056,moderate,1,0,,0,,True,False,False,False,False,False,False,False,False
8hms__1__1.A__1.E,1.E,0.329459011554718,6.204300880432129,far,1,0,,0,,False,True,False,False,False,False,False,False,False
8i1o__1__1.A__1.F,1.F,0.122448980808258,7.935135841369629,far,1,0,,0,,False,True,False,False,False,False,False,False,False
8in7__1__1.A__1.B,1.B,0.1454694271087646,7.959853649139404,far,1,0,,0,,False,True,False,False,False,False,False,False,False
8j40__1__1.A_2.A__1.D,1.D,0.0896690487861633,11.19254207611084,far,6,0,,0,,True,True,False,False,False,False,False,False,False
8j5e__1__1.A__1.B,1.B,0.2733918130397796,6.278033256530762,far,1,0,,0,,True,True,False,False,False,False,False,False,False
8jby__1__1.A__1.C,1.C,0.7684921622276306,2.3913276195526123,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
8jmo__1__1.A__1.D,1.D,0.2893738150596618,5.98785400390625,far,1,0,,0,,True,False,False,False,False,False,False,False,False
8k4c__1__1.B__1.G,1.G,0.7953900694847107,2.293645143508911,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
8oqv__1__1.B__1.Q,1.Q,0.0487616099417209,10.883011817932127,far,1,0,,0,,False,True,False,False,False,False,False,False,False
8ow7__1__1.A_1.C__1.G,1.G,0.4214726984500885,4.194631099700928,far,2,0,,0,,False,True,False,False,False,False,False,False,False
8p0m__1__1.C__1.L,1.L,0.0618172772228717,11.068904876708984,far,1,0,,0,,False,True,False,False,False,False,False,False,False
8p4z__1__1.A__1.C,1.C,0.04853181168437,14.794389724731444,far,1,0,,0,,True,True,False,False,False,False,False,False,False
8pl6__1__1.A__1.C,1.C,0.7892720103263855,1.3416285514831543,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
8pom__1__1.A__1.C,1.C,0.7012345790863037,2.060904026031494,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
8px2__1__1.A__1.B,1.B,0.7504789233207703,2.4992446899414062,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
8pxt__1__1.C__1.L,1.L,0.3054621815681457,5.351569652557373,far,1,0,,0,,False,True,False,False,False,False,False,False,False
8q34__1__1.A__1.F,1.F,0.7576252818107605,1.6746519804000854,moderate,1,0,,0,,True,True,False,False,False,False,False,False,False
8qdz__1__1.A_2.A__2.B,2.B,0.5611931085586548,3.6500420570373535,moderate,5,0,,0,,True,True,False,False,False,False,False,False,False
8qka__1__1.A__1.D,1.D,0.6217228174209595,2.99096941947937,moderate,1,0,,0,,False,True,False,False,False,False,False,False,False
8r4o__1__1.A__1.M,1.M,0.65771484375,3.12656044960022,moderate,1,0,,1,TPO,False,True,False,False,False,False,False,False,False
8smf__1__1.B_1.E__1.I,1.I,0.0722864791750907,12.017584800720217,far,2,0,,0,,True,True,False,False,False,False,False,False,False
8tnd__1__1.B__1.F,1.F,0.0888643041253089,11.61549186706543,far,1,0,,0,,False,True,False,False,False,False,False,False,False
8ur9__1__1.A_1.B__1.C,1.C,0.3089672029018402,7.872565269470215,far,2,0,,0,,False,True,False,False,False,False,False,False,False
8v8e__1__1.A__1.D,1.D,0.1380252093076706,13.248961448669434,far,1,0,,0,,True,True,False,False,False,False,False,False,False
8wrj__1__1.A__1.B,1.B,0.1924227327108383,7.942684650421143,far,1,0,,0,,True,True,False,False,False,False,False,False,False
