system_id,ligand_ccd_code,cluster,ligand_molecular_weight,ligand_instance_chain,ligand_num_rot_bonds,ligand_tpsa,ligand_num_unique_interactions,ligand_num_heavy_atoms,ligand_is_proper,entry_pdb_id,entry_keywords,ligand_num_rings,ligand_num_pocket_residues,ligand_smiles,num_training_systems_with_similar_ccds,group_key,query_system,target_system,pli_qcov,pli_unique_qcov,pocket_fident,pocket_fident_qcov,pocket_lddt,pocket_lddt_qcov,pocket_qcov,protein_fident_max,protein_fident_qcov_max,protein_fident_qcov_weighted_max,protein_fident_qcov_weighted_sum,protein_fident_weighted_max,protein_fident_weighted_sum,protein_lddt_max,protein_lddt_qcov_max,protein_lddt_qcov_weighted_max,protein_lddt_qcov_weighted_sum,protein_lddt_weighted_max,protein_lddt_weighted_sum,protein_qcov_max,protein_qcov_weighted_max,protein_qcov_weighted_sum,protein_seqsim_max,protein_seqsim_qcov_max,protein_seqsim_qcov_weighted_max,protein_seqsim_qcov_weighted_sum,protein_seqsim_weighted_max,protein_seqsim_weighted_sum,query_ligand_instance_chain,color,shape,sucos_protein,sucos_shape,sucos_protein_pocket_qcov,sucos_protein_pocket_lddt_qcov,sucos_shape_pocket_qcov,sucos_shape_pocket_lddt_qcov,shape_pocket_qcov,shape_pocket_lddt_qcov,color_pocket_qcov,color_pocket_lddt_qcov,target_release_date,release_date_before_cutoff,query_system_pli_qcov,target_system_pli_qcov,pli_qcov_pli_qcov,pli_unique_qcov_pli_qcov,pocket_fident_pli_qcov,pocket_fident_qcov_pli_qcov,pocket_lddt_pli_qcov,pocket_lddt_qcov_pli_qcov,pocket_qcov_pli_qcov,protein_fident_max_pli_qcov,protein_fident_qcov_max_pli_qcov,protein_fident_qcov_weighted_max_pli_qcov,protein_fident_qcov_weighted_sum_pli_qcov,protein_fident_weighted_max_pli_qcov,protein_fident_weighted_sum_pli_qcov,protein_lddt_max_pli_qcov,protein_lddt_qcov_max_pli_qcov,protein_lddt_qcov_weighted_max_pli_qcov,protein_lddt_qcov_weighted_sum_pli_qcov,protein_lddt_weighted_max_pli_qcov,protein_lddt_weighted_sum_pli_qcov,protein_qcov_max_pli_qcov,protein_qcov_weighted_max_pli_qcov,protein_qcov_weighted_sum_pli_qcov,protein_seqsim_max_pli_qcov,protein_seqsim_qcov_max_pli_qcov,protein_seqsim_qcov_weighted_max_pli_qcov,protein_seqsim_qcov_weighted_sum_pli_qcov,protein_seqsim_weighted_max_pli_qcov,protein_seqsim_weighted_sum_pli_qcov,query_ligand_instance_chain_pli_qcov,color_pli_qcov,shape_pli_qcov,sucos_protein_pli_qcov,sucos_shape_pli_qcov,tanimoto_pli_qcov,sucos_protein_pocket_qcov_pli_qcov,sucos_protein_pocket_lddt_qcov_pli_qcov,sucos_shape_pocket_qcov_pli_qcov,sucos_shape_pocket_lddt_qcov_pli_qcov,shape_pocket_qcov_pli_qcov,shape_pocket_lddt_qcov_pli_qcov,color_pocket_qcov_pli_qcov,color_pocket_lddt_qcov_pli_qcov,target_release_date_pli_qcov,release_date_before_cutoff_pli_qcov,num_ligand_chains,num_protein_chains,num_proper_ligand_chains,release_date,sucos_shape_pocket_qcov_2023,topological_tanimoto,morgan_tanimoto,pocket_qcov_alone
8gcz__1__1.A__1.N,YZI,c22,411.183731004,1.N,3,81.91,10,28,True,8gcz,VIRAL PROTEIN/INHIBITOR,3,25,CN1CCN(C(=O)N2C[C@H](CN)C[C@H](C(=O)Nc3ccc(Cl)c(F)c3)C2)CC1,3,8gcz__1__1.A__1.N__1.N,8gcz__1__1.A__1.N,6onv__1__1.A__1.L,70.0,60.0,100.0,92.0,91.0,84.0,92.0,99.0,99.0,99.0,99.0,99.0,99.0,94.0,94.0,94.0,94.0,94.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.N,29.04742747849086,68.97996419529717,67.79578265098368,67.9818442669572,62.37212003890499,56.94845742682629,62.54329672560063,57.10474918424404,63.4615670596734,57.94316992404962,26.7236332802116,24.39983908193232,2019-10-23,True,8gcz__1__1.A__1.N,6onf__1__1.A__1.L,70.0,60.0,100.0,88.0,94.0,84.0,88.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,97.0,97.0,97.0,97.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.N,17.810547711168827,63.88861331143679,64.7041628883218,53.157654390829975,0.719562243502052,56.93966334172319,54.35149682619031,46.77873586393038,44.652429688297175,56.22197971406437,53.6664351816069,15.673281985828568,14.960860077381811,2019-10-23,True,1,1,1,2023-06-07,62.54329672560063,58.188585607940446,47.05882352941176,100.0
7gc3__1__1.A_2.A__2.F,L7V,c0,298.142975816,2.F,4,72.12,5,22,True,7gc3,VIRAL PROTEIN,4,24,O=C(Cc1cccnc1)N1CCC[C@H]1c1noc(C2CC2)n1,0,7gc3__1__1.A_2.A__2.F__2.F,7gc3__1__1.A_2.A__2.F,6wco__1__2.A_3.A__3.D,60.0,40.0,100.0,96.0,93.0,89.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,100.0,100.0,100.0,98.0,98.0,98.0,98.0,98.0,98.0,2.F,17.42508352165321,49.350181263620655,0.0,65.860132993765,0.0,0.0,63.2257276740144,58.61551836445086,47.37617401307583,43.921661324622384,16.72808018078708,15.508324334271355,2020-08-05,True,7gc3__1__1.A_2.A__2.F,7d1o__1__1.A_2.A__2.B,100.0,80.0,100.0,88.0,92.0,80.0,88.0,100.0,99.0,99.0,99.0,100.0,100.0,96.0,95.0,95.0,95.0,96.0,96.0,99.0,99.0,99.0,100.0,99.0,99.0,99.0,100.0,100.0,2.F,4.511106107239128,38.1368658376953,35.20435548878679,43.07341846556743,0.3194351042367182,30.979832830132374,28.16348439102943,37.904608249699336,34.458734772453944,33.56044193717186,30.50949267015624,3.969773374370432,3.6088848857913023,2020-09-23,True,1,2,1,2023-11-08,63.2257276740144,42.14765100671141,19.35483870967742,100.0
7gc8__1__1.A_2.A__2.E,L9F,c0,287.04615424,2.E,2,62.3,6,20,True,7gc8,VIRAL PROTEIN,3,22,O=C1N[C@H](c2cccnc2)C(=O)N1c1cccc(Cl)c1,0,7gc8__1__1.A_2.A__2.E__2.E,7gc8__1__1.A_2.A__2.E,5rh2__1__1.A_2.A__2.B,33.0,33.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.E,45.43189114023738,87.35721441420527,74.02246429675866,73.75165851674657,74.02246429675866,74.02246429675866,73.75165851674657,73.75165851674657,87.35721441420527,87.35721441420527,45.43189114023738,45.43189114023738,2020-05-27,True,7gc8__1__1.A_2.A__2.E,7s4b__1__1.A_2.A__2.B,67.0,67.0,100.0,100.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.E,15.132986665369144,77.166018979308,62.51815703949668,56.48904430149153,0.3311367380560132,62.51815703949668,61.892975469101714,56.48904430149153,55.924153858476615,77.166018979308,76.39435878951492,15.132986665369144,14.981656798715452,2021-09-15,True,1,2,1,2023-11-08,73.75165851674657,30.07246376811594,29.508196721311474,100.0
7gcu__1__1.A_2.A__1.E,LT9,c3,314.0822054,1.E,3,59.06,7,22,True,7gcu,VIRAL PROTEIN,3,24,Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC(=O)C1,0,7gcu__1__1.A_2.A__1.E__1.E,7gcu__1__1.A_2.A__1.E,5rgx__1__1.A_2.A__1.B,57.0,29.0,100.0,96.0,100.0,95.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.E,59.4267782686067,83.83208905680196,88.74374652584768,88.84010512107271,85.19399666481377,84.3065591995553,85.2865009162298,84.39809986501908,80.47880549452988,79.64048460396187,57.04970713786243,56.45543935517636,2020-05-27,True,7gcu__1__1.A_2.A__1.E,7s4b__1__1.A_2.A__1.B,71.0,57.0,100.0,96.0,99.0,95.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.E,56.0977085807276,81.22594060284621,76.06125514199981,78.59431088581145,0.5,73.01880493631981,72.25819238489981,75.45053845037899,74.66459534152088,77.97690297873235,77.1646435727039,53.85380023749849,53.292823151691216,2021-09-15,True,1,2,1,2023-11-08,85.2865009162298,48.96551724137931,44.26229508196721,100.0
7gcn__1__1.A_2.A__2.F,LQ0,c0,299.082539748,2.F,3,46.92,5,21,True,7gcn,VIRAL PROTEIN,3,23,Cc1ccncc1NC(=O)Cn1ccc2ccc(Cl)cc21,0,7gcn__1__1.A_2.A__2.F__2.F,7gcn__1__1.A_2.A__2.F,5rgx__1__1.A_2.A__2.B,80.0,80.0,100.0,96.0,99.0,95.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.F,49.878248799871365,92.5696550988693,74.99928347417382,72.81634681681255,71.99931213520686,71.24931930046513,69.90369294414005,69.17552947597193,88.86686889491453,87.94117234392584,47.88311884787651,47.38433635987779,2020-05-27,True,7gcn__1__1.A_2.A__2.F,7s3s__1__1.A_2.A__2.B,100.0,80.0,100.0,91.0,98.0,90.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.F,31.562356663583497,88.91610413200644,65.71557414981987,64.70787730071874,0.3921348314606742,59.801172476336085,59.14401673483789,58.88416834365405,58.23708957064687,80.91365476012587,80.0244937188058,28.721744563860984,28.40612099722515,2021-09-15,True,1,2,1,2023-11-08,69.90369294414005,39.015606242497,41.935483870967744,100.0
7gcl__1__1.A_2.A__2.F,LR0,c0,299.107004908,2.F,3,71.09,7,22,True,7gcl,VIRAL PROTEIN,3,23,CC(=O)Nc1ccncc1NC(=O)[C@@H]1Cc2ccc(F)cc21,0,7gcl__1__1.A_2.A__2.F__2.F,7gcl__1__1.A_2.A__2.F,5rgz__1__1.A_2.A__2.B,43.0,43.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.F,50.41098690630649,82.49893290472843,75.2689446206515,80.19393529822649,75.2689446206515,75.2689446206515,80.19393529822649,80.19393529822649,82.49893290472843,82.49893290472843,50.41098690630649,50.41098690630649,2020-05-27,True,7gcl__1__1.A_2.A__2.F,7s3s__1__1.A_2.A__2.B,86.0,57.0,100.0,96.0,98.0,94.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.F,45.90682916610265,89.51347397626941,48.25285037093997,70.90727841275208,0.4041025641025641,46.32273635610237,45.35767934868357,68.070987276242,66.65284170798695,85.93293501721863,84.14266553769325,44.07055599945855,43.15241941613649,2021-09-15,True,1,2,1,2023-11-08,80.19393529822649,40.625,19.718309859154928,100.0
7gcq__1__1.A_2.A__1.F,LRC,c3,261.066889684,1.F,3,54.88,7,18,True,7gcq,VIRAL PROTEIN,2,23,Cc1ccncc1NC(=O)Cc1cncc(Cl)c1,0,7gcq__1__1.A_2.A__1.F__1.F,7gcq__1__1.A_2.A__1.F,5rgx__1__1.A_2.A__1.B,43.0,29.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.F,68.86736429495406,98.18415055108105,89.97178310058895,93.3106619719208,89.97178310058895,89.97178310058895,93.3106619719208,93.3106619719208,98.18415055108105,98.18415055108105,68.86736429495406,68.86736429495406,2020-05-27,True,7gcq__1__1.A_2.A__1.F,7s3s__1__1.A_2.A__1.B,86.0,71.0,100.0,96.0,97.0,93.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.F,65.93577169992095,88.70473224706916,78.04308734292495,90.46626734317644,0.5126050420168067,74.92136384920795,72.5800712289202,86.84761664944936,84.13362862915407,85.15654295718639,82.49540098977432,63.29834083192411,61.32026768092648,2021-09-15,True,1,2,1,2023-11-08,93.3106619719208,64.03940886699507,57.692307692307686,100.0
7gck__1__1.A_2.A__1.E,LF3,c3,331.072368988,1.E,3,71.53,8,23,True,7gck,VIRAL PROTEIN,3,23,Cc1ccncc1NC(=O)CN1C(=O)COc2ccc(Cl)cc21,0,7gck__1__1.A_2.A__1.E__1.E,7gck__1__1.A_2.A__1.E,5rh3__1__1.A_2.A__1.B,50.0,38.0,100.0,96.0,100.0,95.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.E,46.07815331242464,85.90954087674392,73.02623151778239,68.6085811851359,70.10518225707109,69.37491994189327,65.86423793773046,65.17815212587911,82.47315924167415,81.61406383290672,44.235027179927656,43.77424564680341,2020-05-27,True,7gck__1__1.A_2.A__1.E,7s4b__1__1.A_2.A__1.B,75.0,62.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.E,41.59228100715689,87.55348346546812,66.74874693775705,60.28860101098874,0.3256410256410256,66.74874693775705,66.74874693775705,60.28860101098874,60.28860101098874,87.55348346546812,87.55348346546812,41.59228100715689,41.59228100715689,2021-09-15,True,1,2,1,2023-11-08,65.86423793773046,38.34586466165413,40.909090909090914,100.0
7gcs__1__1.A_2.A__1.E,LS0,c3,283.112090288,1.E,3,46.92,7,21,True,7gcs,VIRAL PROTEIN,3,23,Cc1ccncc1NC(=O)Cn1ccc2ccc(F)cc21,0,7gcs__1__1.A_2.A__1.E__1.E,7gcs__1__1.A_2.A__1.E,5rgx__1__1.A_2.A__1.B,57.0,43.0,100.0,96.0,99.0,95.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.E,47.71752141351436,92.06073542939784,70.44217944824386,69.11839941238102,67.62449227031411,66.92007047583166,66.35366343588578,65.66247944176197,88.37830601222194,87.45769865792795,45.808820556973785,45.33164534283864,2020-05-27,True,7gcs__1__1.A_2.A__1.E,7s4b__1__1.A_2.A__1.B,71.0,57.0,100.0,96.0,99.0,95.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.E,32.50750928798182,88.08631977883908,74.0387161454819,65.11579828184153,0.3826266804550155,71.07716749966262,70.3367803382078,62.51116635056787,61.86000836774946,84.56286698768551,83.68200378989712,31.207208916462545,30.882133823582727,2021-09-15,True,1,2,1,2023-11-08,66.35366343588578,39.08872901678657,41.935483870967744,100.0
7gcf__1__1.A_2.A__2.E,LKX,c0,252.041403208,2.E,3,79.78,8,17,True,7gcf,VIRAL PROTEIN,2,22,O=C(Cc1cccc(Cl)c1)Nn1cn[nH]c1=O,0,7gcf__1__1.A_2.A__2.E__2.E,7gcf__1__1.A_2.A__2.E,5rh3__1__1.A_2.A__2.B,25.0,38.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.E,40.270652697256985,91.4773299715102,66.72468436327021,84.933346687389,66.72468436327021,66.72468436327021,84.933346687389,84.933346687389,91.4773299715102,91.4773299715102,40.270652697256985,40.270652697256985,2020-05-27,True,7gcf__1__1.A_2.A__2.E,2a5i__1__1.A_2.A__2.B,62.0,75.0,100.0,95.0,92.0,88.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,100.0,100.0,100.0,98.0,98.0,98.0,98.0,98.0,98.0,2.E,6.011029559199383,32.2147735520777,32.45369634917267,46.85673131359928,0.2144082332761578,30.83101153171404,28.559252787271948,44.51389474791931,41.233923555967365,30.60403487447381,28.34900072582838,5.710478081239414,5.289706012095458,2005-10-25,True,1,2,1,2023-11-08,84.933346687389,31.151832460732987,24.615384615384617,100.0
7gc1__1__1.A_2.A__2.E,L7F,c0,230.141913196,2.E,3,41.99,7,17,True,7gc1,VIRAL PROTEIN,3,22,Cc1ccncc1NC(=O)C[C@@]12CCC[C@@H]1C2,0,7gc1__1__1.A_2.A__2.E__2.E,7gc1__1__1.A_2.A__2.E,5r84__1__1.A_2.A__2.B,38.0,29.0,100.0,91.0,99.0,90.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.E,61.979166085938985,88.96573155046931,79.28279398304112,84.85628042743146,72.14734252456742,71.354514584737,77.21921518896262,76.37065238468831,80.95881571092708,80.06915839542239,56.40104113820448,55.781249477345085,2020-03-11,True,7gc1__1__1.A_2.A__2.E,7s4b__1__1.A_2.A__2.B,62.0,71.0,100.0,91.0,98.0,89.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.E,45.97466934605032,77.33641268437604,80.86199359176905,75.5110503640042,0.3494687131050767,73.58441416850984,71.96717429667446,68.71505583124383,67.20483482396375,70.37613554278221,68.82940728909468,41.83694910490579,40.91745571798479,2021-09-15,True,1,2,1,2023-11-08,77.21921518896262,63.82113821138211,34.48275862068966,100.0
8q31__1__1.A__1.C,IVR,c81,288.08902209600006,1.C,3,81.65,7,20,True,8q31,RNA BINDING PROTEIN,3,17,CNc1nc(Cl)nc2c1ncn2Cc1ccccc1N,0,8q31__1__1.A__1.C__1.C,8q31__1__1.A__1.C,6ym2__1__1.A__1.C_1.F,38.0,43.0,100.0,94.0,99.0,93.0,94.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,64.58628904113426,63.73464794948336,70.7928721335048,75.42892833212771,66.54529980549451,65.83737108415947,70.90319263220005,70.14890334887878,59.91056907251436,59.273222593019526,60.71111169866621,60.06524880825487,2021-04-14,True,8q31__1__1.A__1.C,6ynn__2__1.B__1.F,62.0,57.0,100.0,100.0,90.0,90.0,100.0,98.0,98.0,98.0,98.0,98.0,98.0,94.0,94.0,94.0,94.0,94.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.C,7.6557934190636,53.70883660436127,23.11891152843678,39.49607166922482,0.2497897392767031,23.11891152843678,20.8070203755931,39.49607166922482,35.546464502302335,53.70883660436127,48.33795294392514,7.6557934190636,6.89021407715724,2020-07-15,True,1,1,1,2023-12-06,73.85021225626109,61.47727272727273,30.76923076923077,100.0
8q34__1__1.A__1.F,IX4,c7,258.122909068,1.F,5,95.39,5,19,True,8q34,GENE REGULATION,3,23,CC1(CCC(=O)NCc2nc3ncccc3[nH]2)N=N1,0,8q34__1__1.A__1.F__1.F,8q34__1__1.A__1.F,7mlr__1__1.A__1.G,80.0,80.0,100.0,100.0,98.0,98.0,100.0,100.0,99.0,99.0,99.0,100.0,100.0,99.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,100.0,99.0,99.0,99.0,100.0,100.0,1.F,10.85595901962965,54.27790987731663,52.081307895292426,55.93747691453719,52.081307895292426,51.03968173738657,55.93747691453719,54.81872737624644,54.27790987731663,53.1923516797703,10.85595901962965,10.638839839237056,2021-07-28,True,8q34__1__1.A__1.F,3s92__1__1.A__1.B,100.0,80.0,78.0,57.0,88.0,66.0,74.0,37.0,31.0,31.0,31.0,37.0,37.0,79.0,67.0,67.0,67.0,79.0,79.0,85.0,85.0,85.0,55.0,47.0,47.0,47.0,55.0,55.0,1.F,2.3190954800918666,52.09002838644937,46.61451513369556,43.954499375640296,0.2536407766990291,34.49474119893472,30.76557998823907,32.526329537973815,29.0099695879226,38.54662100597253,34.37941873505658,1.7161306552679814,1.530603016860632,2011-06-29,True,1,1,1,2024-02-07,55.93747691453719,26.85459940652819,9.89010989010989,100.0
8br6__1__1.A__1.C,R6I,c108,434.162390932,1.C,7,120.86,11,30,True,8br6,TRANSFERASE,3,30,COc1cc2c(cc1NC(=O)c1cccc(C(C)(C)O)n1)CN(CCS(C)(=O)=O)N2,0,8br6__1__1.A__1.C__1.C,8br6__1__1.A__1.C,6uya__1__1.A_1.B__1.G,29.0,36.0,100.0,93.0,97.0,91.0,93.0,98.0,97.0,97.0,97.0,98.0,98.0,94.0,94.0,94.0,94.0,94.0,94.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,99.0,99.0,1.C,31.259494231749805,84.53302947514338,64.84130417855778,69.20554770830395,60.30241288605874,59.00558680248758,64.36115936872268,62.9770484145566,78.61571741188335,76.92505682238048,29.07132963552732,28.446139750892325,2019-11-20,True,8br6__1__1.A__1.C,5jrq__1__1.B__1.G,71.0,64.0,33.0,30.0,67.0,57.0,80.0,29.0,26.0,26.0,26.0,29.0,29.0,63.0,58.0,58.0,58.0,63.0,63.0,91.0,91.0,91.0,47.0,42.0,42.0,42.0,47.0,47.0,1.C,10.13777647643379,59.36418057336944,26.81285453703502,42.4201495116877,0.4270573566084788,21.45028362962801,15.28332708610996,33.93611960935016,24.179485221661984,47.49134445869555,33.83758292682057,8.110221181147033,5.77853259156726,2016-09-14,True,1,1,1,2024-01-31,64.36115936872268,45.06172839506173,20.72072072072072,93.0
8br5__1__1.A__1.E,R73,c108,400.1259437600001,1.E,3,88.49000000000001,7,29,True,8br5,TRANSFERASE,4,28,Cc1nc2cc(-c3ccn[nH]3)c(NC(=O)c3cccc(C(F)(F)F)n3)cc2n1C,0,8br5__1__1.A__1.E__1.E,8br5__1__1.A__1.E,6o94__1__1.A__1.F,44.0,43.0,100.0,93.0,97.0,90.0,93.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,97.0,97.0,99.0,99.0,99.0,100.0,99.0,99.0,99.0,100.0,100.0,1.E,35.75560783723964,76.55302186648518,65.15026824924963,71.46026475298468,60.589749471802165,58.63524142432468,66.45804622027576,64.31423827768621,71.19431033583122,68.89771967983667,33.252715288632864,32.18004705351567,2019-05-22,True,8br5__1__1.A__1.E,6bfn__1__1.A__1.C,89.0,71.0,64.0,54.0,85.0,74.0,82.0,35.0,34.0,34.0,34.0,35.0,35.0,82.0,80.0,80.0,80.0,82.0,82.0,98.0,98.0,98.0,53.0,52.0,52.0,52.0,53.0,53.0,1.E,24.26000278985131,70.91690132663585,41.25421846773353,53.58503564751857,0.4559125085440875,33.828459143541494,30.52812166612281,43.93972923096523,39.65292637916375,58.1518590878414,52.47850698171053,19.893202287678072,17.95240206448997,2017-12-06,True,1,1,1,2024-01-31,66.45804622027576,52.3335407591786,23.0,96.0
7rn4__1__1.A_2.A__2.B,H69,c95,367.0490467,2.B,2,86.02999999999999,13,24,True,7rn4,HYDROLASE/INHIBITOR,3,22,O=C(c1cc(=O)[nH]c(=O)[nH]1)N1CCC(c2ccc(Cl)c(Cl)c2)CC1,0,7rn4__1__1.A_2.A__2.B__2.B,7rn4__1__1.A_2.A__2.B,7ltj__1__1.A_2.A__2.B,92.0,69.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.B,84.56783529643158,98.41483881837962,93.45849253635744,96.60872528970688,93.45849253635744,93.45849253635744,96.60872528970688,96.60872528970688,98.41483881837962,98.41483881837962,84.56783529643158,84.56783529643158,2021-03-03,True,7rn4__1__1.A_2.A__2.B,7ltj__1__1.A_2.A__2.B,92.0,69.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.B,84.56783529643158,98.41483881837962,93.45849253635744,96.60872528970688,0.6112852664576802,93.45849253635744,93.45849253635744,96.60872528970688,96.60872528970688,98.41483881837962,98.41483881837962,84.56783529643158,84.56783529643158,2021-03-03,True,1,2,1,2021-11-10,100.0,61.12852664576802,64.0,100.0
7rnk__1__1.A_2.A__2.B,5ZT,c95,364.093832704,2.B,3,102.31,12,25,True,7rnk,HYDROLASE/INHIBITOR,3,25,O=C1CC(C(=O)N2CCN(c3ccc(CO)c(Cl)c3)CC2)=NC(=O)N1,0,7rnk__1__1.A_2.A__2.B__2.B,7rnk__1__1.A_2.A__2.B,7n8c__1__1.A_2.A__2.B,75.0,58.0,100.0,96.0,100.0,96.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.B,45.50416458823145,98.44417909862317,81.85617682376758,89.24685696498842,78.58192975081688,78.58192975081688,85.67698268638888,85.67698268638888,94.50641193467824,94.50641193467824,43.68399800470219,43.68399800470219,2021-06-23,True,7rnk__1__1.A_2.A__2.B,7ltj__1__1.A_2.A__2.B,83.0,58.0,100.0,88.0,100.0,88.0,88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.B,62.67149157297198,98.54455842374864,85.94640808638525,89.01929380984959,0.3700088731144632,75.63283911601901,75.63283911601901,78.33697855266763,78.33697855266763,86.7192114128988,86.7192114128988,55.15091258421534,55.15091258421534,2021-03-03,True,1,2,1,2021-11-10,100.0,37.00088731144632,41.935483870967744,100.0
