system_id,proper_ligand_chain
5sjg__1__1.A__1.G,1.G
5sjl__1__1.A__1.G,1.G
5sjo__1__1.A__1.H,1.H
5sjt__1__1.A__1.H,1.H
5sju__1__1.A__1.G,1.G
5sjv__1__1.A__1.G,1.G
5sjw__1__1.A__1.I,1.I
5sk0__1__1.A__1.G,1.G
5sk4__1__1.A__1.G,1.G
5sk5__1__1.A__1.H,1.H
5sk6__1__1.A__1.G,1.G
5sk9__1__1.A__1.G,1.G
5skd__1__1.A__1.G,1.G
5ske__1__1.A__1.G,1.G
5skf__1__1.A__1.I,1.I
5skg__1__1.A__1.G,1.G
5skh__1__1.A__1.H,1.H
5ski__1__1.A__1.G,1.G
5skl__1__1.A__1.G,1.G
5skm__1__1.A__1.G,1.G
5sko__1__1.A__1.G,1.G
5skr__1__1.A__1.G,1.G
5skt__1__1.A__1.G,1.G
5sku__1__1.A__1.G,1.G
5slg__1__1.A__1.G,1.G
6th4__1__1.C_1.D__1.T,1.T
6xqr__1__1.B__1.E,1.E
6z48__1__1.B__1.J,1.J
6zfz__1__1.A__1.B,1.B
6zg4__1__1.A__1.B,1.B
6zg9__1__1.A__1.B,1.B
6zx1__1__1.A_2.A__1.B,1.B
7a4q__1__1.A__1.B,1.B
7abj__1__1.A__1.T,1.T
7ait__1__1.A__1.C,1.C
7aiu__1__1.A__1.H,1.H
7aiw__1__2.B__2.M,2.M
7an8__1__1.B__1.E,1.E
7ana__1__1.A__1.C,1.C
7au4__1__1.A_2.A__2.D,2.D
7ay9__1__1.A__1.I,1.I
7ayz__1__1.A__1.D,1.D
7b2u__1__1.A_1.B__1.C,1.C
7b3g__1__1.A__1.I,1.I
7b3h__1__1.A__1.H,1.H
7b3i__1__1.A__1.I,1.I
7b3p__1__1.A__1.G,1.G
7b3x__1__1.A__1.F,1.F
7b4x__1__1.A__1.M,1.M
7b6v__1__1.C_1.D__1.Y,1.Y
7b77__1__1.A_2.A__1.F,1.F
7b87__1__1.A__1.N,1.N
7b89__1__1.A__1.D,1.D
7b8a__1__1.A__1.F,1.F
7bc9__1__1.A__1.J,1.J
7bcf__1__1.A__1.H,1.H
7bdd__1__1.A__1.G,1.G
7bis__1__1.A_2.A__2.F,2.F
7bk9__1__1.A_2.A__2.F,2.F
7blw__1__1.A__1.F,1.F
7bm7__1__1.A__1.F,1.F
7bn5__1__1.A__1.G,1.G
7bn8__1__1.A__1.G,1.G
7bnc__1__1.A__1.K,1.K
7bo7__1__1.A__1.C,1.C
7dcw__1__1.A_1.B__1.D,1.D
7dg4__1__1.A__1.B,1.B
7dh3__1__1.A__1.B,1.B
7dh9__1__1.A__1.B,1.B
7dhn__1__1.A__1.B,1.B
7di7__1__1.A__1.D,1.D
7dji__1__1.D_1.E__1.L,1.L
7dml__1__1.A__1.E,1.E
7dnn__1__1.A_1.B__1.E,1.E
7dow__1__1.A_1.B__1.C,1.C
7doy__1__1.A_1.B__1.E,1.E
7du9__1__1.A_1.B__1.D,1.D
7dua__1__1.B__1.D,1.D
7dvb__1__1.A__1.E,1.E
7dxl__1__1.A__1.C,1.C
7e1n__1__1.A_1.B__1.D,1.D
7e5f__1__1.A_2.A__2.B,2.B
7e5g__1__1.A_2.A__2.B,2.B
7eba__1__1.A__1.C,1.C
7ee5__1__1.A__1.H,1.H
7ei4__1__1.A_1.B_1.C__1.F,1.F
7ejv__1__1.B__1.D,1.D
7ekr__1__1.A__1.C,1.C
7elt__1__2.A__2.B,2.B
7ems__1__1.A__1.D,1.D
7en5__1__1.A_3.A_4.A__3.B,3.B
7en7__1__1.A_2.A_4.A__2.B,2.B
7en9__1__1.A_2.A__2.B,2.B
7end__1__1.A_2.A__2.B,2.B
7ene__1__1.A_1.B__1.E,1.E
7er2__1__1.A__1.B,1.B
7es1__1__1.A__1.C,1.C
7eue__1__1.B__1.F,1.F
7exu__1__1.A__1.C,1.C
7ezf__1__1.B__1.G,1.G
7ezp__1__1.D__1.L,1.L
7ezr__1__1.B__1.G,1.G
7f06__1__1.A__1.C,1.C
7f10__1__1.B__1.C,1.C
7f14__1__1.B__1.D,1.D
7f1u__1__1.A_1.B__1.E,1.E
7f1v__1__1.C_1.D__1.F,1.F
7f35__1__1.A_1.B__1.G,1.G
7f42__1__1.B__1.C,1.C
7f51__1__1.A__1.C,1.C
7f6w__1__2.A__2.B,2.B
7f7d__1__2.A__2.B,2.B
7f83__1__1.B__1.J,1.J
7f8u__1__1.A__1.B,1.B
7fai__1__1.A__1.E,1.E
7faj__1__1.A__1.E,1.E
7fak__1__1.A__1.B,1.B
7fcz__1__2.B__2.D,2.D
7fd0__1__1.A__1.C,1.C
7fd6__1__1.A__1.B,1.B
7fee__1__1.A__1.D,1.D
7fee__1__1.A__1.E,1.E
7fgc__1__1.B__1.E,1.E
7fgd__1__1.B__1.E,1.E
7fha__1__1.A__1.C,1.C
7fhb__1__1.A__1.B,1.B
7fmg__1__1.A__1.C,1.C
7fnt__1__1.B__1.C,1.C
7fsd__1__1.A__1.I,1.I
7fti__1__1.A__1.C,1.C
7ftm__1__1.A__1.C,1.C
7ftv__1__1.A__1.C,1.C
7ftw__1__1.A__1.C,1.C
7ftz__1__1.A__1.D,1.D
7fu2__1__1.A__1.C,1.C
7fu6__1__1.A__1.C,1.C
7fu7__1__1.A__1.C,1.C
7fu8__1__1.A__1.C,1.C
7fuc__1__1.A__1.C,1.C
7fuf__1__1.A__1.C,1.C
7fum__1__1.A__1.C,1.C
7fw3__1__1.A__1.B,1.B
7fwb__1__1.A__1.B,1.B
7fwe__1__1.A__1.B,1.B
7fwh__1__1.A__1.B,1.B
7fwi__1__1.A__1.D,1.D
7fwl__1__1.A__1.B,1.B
7fwm__1__1.A__1.B,1.B
7fwn__1__1.A__1.D,1.D
7fwr__1__1.A__1.B,1.B
7fx1__1__1.A__1.B,1.B
7fxi__1__1.A__1.D,1.D
7fyr__1__1.A__1.B,1.B
7fys__1__1.A__1.B,1.B
7fyx__1__1.A__1.C,1.C
7fz0__1__1.A__1.E,1.E
7fz3__1__1.A__1.B,1.B
7fzc__1__1.A__1.B,1.B
7fzl__1__1.A__1.B,1.B
7fzs__1__1.A__1.B,1.B
7g00__1__1.A__1.Q,1.Q
7g07__1__1.A__1.B,1.B
7g0g__1__1.A__1.B,1.B
7g0j__1__1.A__1.D,1.D
7g0t__1__1.A__1.B,1.B
7g10__1__1.A__1.D,1.D
7g1b__1__1.A__1.B,1.B
7g1e__1__1.A__1.C,1.C
7g1j__1__1.A__1.B,1.B
7g1m__1__1.A__1.B,1.B
7g20__1__1.A__1.B,1.B
7g90__1__1.A__1.C,1.C
7gaw__1__1.A_1.B__1.K,1.K
7gb6__1__1.A_2.A__1.F,1.F
7gb7__1__1.A_2.A__1.B,1.B
7gb8__1__1.A_2.A__1.F,1.F
7gbc__1__1.A_2.A__2.E,2.E
7gbd__1__1.A_2.A__2.E,2.E
7gbe__1__1.A_2.A__1.B,1.B
7gbg__1__1.A_2.A__2.E,2.E
7gbi__1__1.A_2.A__2.D,2.D
7gbo__1__1.A_2.A__1.E,1.E
7gbp__1__1.A_2.A__2.F,2.F
7gbq__1__1.A_2.A__1.E,1.E
7gbr__1__1.A_2.A__2.F,2.F
7gbw__1__1.A_2.A__1.F,1.F
7gby__1__1.A_2.A__1.E,1.E
7gbz__1__1.A_2.A__2.F,2.F
7gc0__1__1.A_2.A__1.E,1.E
7gc1__1__1.A_2.A__2.E,2.E
7gc2__1__1.A_2.A__2.E,2.E
7gc3__1__1.A_2.A__2.F,2.F
7gc8__1__1.A_2.A__2.E,2.E
7gce__1__1.A_2.A__2.E,2.E
7gcf__1__1.A_2.A__2.E,2.E
7gcj__1__1.A_2.A__1.E,1.E
7gck__1__1.A_2.A__1.E,1.E
7gcl__1__1.A_2.A__2.F,2.F
7gcn__1__1.A_2.A__2.F,2.F
7gco__1__1.A_2.A__2.E,2.E
7gcq__1__1.A_2.A__1.F,1.F
7gcs__1__1.A_2.A__1.E,1.E
7gcu__1__1.A_2.A__1.E,1.E
7gcv__1__1.A_2.A__2.E,2.E
7gcx__1__1.A_2.A__2.E,2.E
7gd0__1__1.A_2.A__1.F,1.F
7gd1__1__1.A_2.A__1.E,1.E
7gda__1__1.A_2.A__1.D,1.D
7gdc__1__1.A_2.A__2.D,2.D
7gde__1__1.A_2.A__1.E,1.E
7gdg__1__1.A_2.A__2.F,2.F
7gdj__1__1.A_2.A__2.E,2.E
7gdk__1__1.A_2.A__2.E,2.E
7gdl__1__1.A_2.A__1.E,1.E
7gdm__1__1.A_2.A__2.E,2.E
7gdz__1__1.A_2.A__1.E,1.E
7ge2__1__1.A_2.A__2.E,2.E
7ge3__1__1.A_2.A__1.D,1.D
7ge8__1__1.A_2.A__2.E,2.E
7ge9__1__1.A_2.A__1.E,1.E
7gec__1__1.A_2.A__2.E,2.E
7ged__1__1.A_2.A__1.E,1.E
7gee__1__1.A_2.A__2.E,2.E
7gef__1__1.A_2.A__1.D,1.D
7geg__1__1.A_2.A__2.E,2.E
7geh__1__1.A_2.A__2.E,2.E
7gek__1__1.A_2.A__1.E,1.E
7gen__1__1.A_2.A__2.E,2.E
7ges__1__1.A_2.A__2.E,2.E
7geu__1__1.A_2.A__2.E,2.E
7gew__1__1.A_2.A__1.E,1.E
7gey__1__1.A_2.A__2.E,2.E
7gf0__1__1.A_2.A__1.E,1.E
7gf2__1__1.A_2.A__2.E,2.E
7gf3__1__1.A_2.A__1.E,1.E
7gf5__1__1.A_2.A__1.E,1.E
7gf6__1__1.A_2.A__2.E,2.E
7gfb__1__1.A_2.A__2.E,2.E
7gfh__1__1.A_2.A__1.E,1.E
7gfl__1__1.A_2.A__2.E,2.E
7gfr__1__1.A_2.A__2.E,2.E
7gfs__1__1.A_2.A__2.E,2.E
7gft__1__1.A_2.A__1.E,1.E
7gfx__1__1.A_2.A__2.E,2.E
7gg2__1__1.A_2.A__2.E,2.E
7ggd__1__1.A__1.E,1.E
7gh3__1__1.A_2.A__2.E,2.E
7gh5__1__1.A_2.A__1.B,1.B
7gh6__1__1.A_2.A__2.B,2.B
7ghn__1__1.A_1.B__1.N,1.N
7ghr__1__1.A_1.B__1.M,1.M
7gi4__1__1.A_1.B__1.J,1.J
7gi6__1__1.A_1.B__1.D,1.D
7gi7__1__1.A_1.B__1.L,1.L
7gi9__1__1.A_1.B__1.F,1.F
7gia__1__1.A_1.B__1.F,1.F
7gjc__1__1.A_1.B__1.E,1.E
7gji__1__1.A_1.B__1.L,1.L
7gk7__1__1.A_1.B__1.H,1.H
7gk8__1__1.A_1.B__1.H,1.H
7gkh__1__1.A_1.B__1.J,1.J
7gki__1__1.A__1.I,1.I
7gkk__1__1.A_1.B__1.O,1.O
7gks__1__1.A_1.B__1.H,1.H
7gkx__1__1.A_1.B__1.I,1.I
7gl3__1__1.A_1.B__1.H,1.H
7gla__1__1.A_1.B__1.I,1.I
7glb__1__1.A_1.B__1.N,1.N
7gld__1__1.A_1.B__1.H,1.H
7glg__1__1.A_1.B__1.H,1.H
7gli__1__1.A_1.B__1.L,1.L
7gln__1__1.A_1.B__1.I,1.I
7gly__1__1.A_1.B__1.I,1.I
7gm0__1__1.A_1.B__1.N,1.N
7gm1__1__1.A_1.B__1.I,1.I
7gm4__1__1.A_1.B__1.I,1.I
7gm5__1__1.A_1.B__1.I,1.I
7gm6__1__1.A_1.B__1.N,1.N
7gm8__1__1.A_1.B__1.I,1.I
7gm9__1__1.A_1.B__1.I,1.I
7gma__1__1.A_1.B__1.J,1.J
7gmh__1__1.A_1.B__1.O,1.O
7gms__1__1.A_1.B__1.I,1.I
7gmu__1__1.A_1.B__1.I,1.I
7gmy__1__1.A_1.B__1.I,1.I
7gn0__1__1.A_1.B__1.I,1.I
7gn5__1__1.A_1.B__1.I,1.I
7gn9__1__1.A_1.B__1.O,1.O
7gng__1__1.A_1.B__1.Q,1.Q
7gnh__1__1.A_1.B__1.M,1.M
7gnk__1__1.A_1.B__1.T,1.T
7gnl__1__1.A_1.B__1.N,1.N
7gnm__1__1.A_1.B__1.S,1.S
7gnn__1__1.A_1.B__1.I,1.I
7grr__1__1.A__1.D,1.D
7grs__1__1.B__1.Q,1.Q
7gs0__1__1.A_1.B__1.D,1.D
7h1j__1__1.B__1.E,1.E
7jhq__1__2.D__2.Q,2.Q
7jni__1__1.A__1.C,1.C
7jxa__1__1.C__1.I,1.I
7jyd__1__1.A__1.C,1.C
7k5v__1__1.A__1.C,1.C
7kb8__1__1.A__1.E,1.E
7kgy__1__2.C_2.D__2.J,2.J
7kkh__1__1.A_1.B__1.D,1.D
7ko6__1__1.A__1.D,1.D
7kxz__1__1.A__1.C,1.C
7l1p__1__1.A_1.B__1.C,1.C
7l2y__1__1.A_2.A__1.J,1.J
7lbv__1__1.A__1.B,1.B
7ldy__1__1.A_1.B__1.H,1.H
7le3__1__1.A_1.B__1.C,1.C
7le5__1__1.A_1.B__1.H,1.H
7le6__1__1.A_1.B__1.C,1.C
7lk0__1__1.A_2.A__1.D,1.D
7lnh__1__2.A_2.B__2.E,2.E
7lp0__1__1.A__1.C,1.C
7lpk__1__1.A__1.C,1.C
7lpw__1__1.A_1.B__1.G,1.G
7lr9__1__1.A__1.C,1.C
7lrk__1__1.A__1.C,1.C
7lro__1__1.A__1.D,1.D
7lzr__1__1.A_1.B__1.H,1.H
7m94__1__1.B__1.J,1.J
7m95__1__1.B__1.K,1.K
7m96__1__1.A__1.E,1.E
7m9g__1__1.A_1.B__1.E,1.E
7m9h__1__1.A_1.B__1.E,1.E
7m9r__1__1.A_1.B__1.C,1.C
7m9t__1__1.A_1.B__1.D,1.D
7m9v__1__1.A_1.B__1.C,1.C
7m9x__1__1.A_1.B__1.C,1.C
7ma0__1__1.A_1.B__1.I,1.I
7ma1__1__1.A_1.B__1.M,1.M
7ma2__1__1.A_1.B__1.E,1.E
7ma3__1__1.A_1.B__1.E,1.E
7ma4__1__1.A_1.B__1.D,1.D
7ma5__1__1.A_1.B__1.G,1.G
7ma7__1__1.A_1.B__1.E,1.E
7ma8__1__1.A_1.B__1.E,1.E
7maq__1__1.A_1.B__1.C,1.C
7mdp__1__1.A__1.D,1.D
7mgj__1__1.A__1.E,1.E
7mgk__1__1.A__1.E,1.E
7mjd__1__1.B__1.S,1.S
7mkx__1__1.A__1.E,1.E
7mlo__1__1.A__1.C,1.C
7mlp__1__1.A__1.B,1.B
7mlt__1__1.A__1.W,1.W
7mof__1__1.A__1.C,1.C
7mog__1__1.A__1.C,1.C
7mt4__1__2.A_2.B__2.C,2.C
7mwn__1__1.A_1.B__1.C,1.C
7mxh__1__1.A__1.D,1.D
7mxn__1__1.A__1.C,1.C
7myj__1__1.A__1.G,1.G
7n4w__1__1.A__1.D,1.D
7n4z__1__1.A__1.F,1.F
7n53__1__1.A__1.D,1.D
7n54__1__1.B__1.H,1.H
7n9d__1__1.A__1.D,1.D
7nag__1__1.A__1.C,1.C
7nah__1__1.A__1.C,1.C
7nai__1__1.A__1.C,1.C
7nb3__1__1.A__1.C,1.C
7nb7__1__1.A__1.E,1.E
7nbt__1__1.A_2.A__1.C,1.C
7nbw__1__1.A_2.A__1.B,1.B
7ngd__1__1.A__1.B,1.B
7ngg__1__2.A__2.B,2.B
7ngi__1__2.A__2.C,2.C
7ngj__1__1.A__1.B,1.B
7ngk__1__2.A__2.C,2.C
7ngm__1__2.A__2.B,2.B
7ngs__1__1.A__1.B,1.B
7ngw__1__2.A__2.B,2.B
7ngx__1__1.A__1.B,1.B
7ngy__1__2.A__2.B,2.B
7nlv__1__1.A_1.C__1.G,1.G
7nr5__1__1.A__1.F,1.F
7nr6__1__1.B__1.H,1.H
7nsn__1__1.A__1.J,1.J
7ntz__1__1.A__1.B,1.B
7nud__1__1.B__1.D,1.D
7nue__1__1.A__1.C,1.C
7nwa__1__1.A_1.B__1.E,1.E
7nwc__1__1.A_1.B__1.G,1.G
7nya__1__1.A_1.B__1.F,1.F
7nzn__1__1.A_2.A__1.B,1.B
7nzy__1__1.A__1.E,1.E
7o1b__1__1.A__1.E,1.E
7o2t__1__1.A_2.A__1.B,1.B
7o46__1__1.A_2.A__1.B,1.B
7o6x__1__1.A__1.E,1.E
7o7j__1__1.A__1.B,1.B
7o7k__1__1.A__1.E,1.E
7o9i__1__1.A__1.B,1.B
7ocs__1__1.D__1.BB,1.BB
7odn__1__1.A_1.B__1.J,1.J
7oed__1__1.A__1.C,1.C
7of8__1__1.A__1.B,1.B
7oj6__1__1.A_1.C__1.Y,1.Y
7ojq__1__1.A_1.C__1.F,1.F
7ojw__1__1.A_1.C__1.F,1.F
7ojy__1__1.A_1.B__1.D,1.D
7ok1__1__1.A_1.B__1.D,1.D
7okc__1__1.A_2.A__2.B,2.B
7oli__1__1.A__1.C,1.C
7olj__1__1.A_1.B__1.E,1.E
7om1__1__1.A_1.B__1.E,1.E
7ome__1__1.A__1.B,1.B
7omo__1__1.A__1.C,1.C
7omr__1__1.A__1.B,1.B
7onf__1__1.A_2.A__1.C,1.C
7opm__1__1.A__1.D,1.D
7osx__1__1.A__1.C,1.C
7ou8__1__1.A__1.C,1.C
7oum__1__1.A__1.K,1.K
7ouw__1__1.A__1.C,1.C
7ovd__1__1.A__1.B,1.B
7oy5__1__1.A__1.C,1.C
7p1f__1__1.A__1.C,1.C
7p1o__1__1.A__1.D,1.D
7p1s__1__1.A__1.E,1.E
7p3v__1__1.B__1.D,1.D
7p4v__1__1.A_3.A__1.B,1.B
7p5f__1__1.A__1.C,1.C
7p5i__1__1.A__1.D,1.D
7p5k__1__1.A__1.C,1.C
7p5n__1__1.A__1.C,1.C
7p5p__1__1.A__1.D,1.D
7pa1__1__1.A__1.D,1.D
7paw__1__1.B__1.C,1.C
7pd6__1__1.A_1.B__1.K,1.K
7pdb__1__1.C_1.D__1.H,1.H
7pdr__1__1.A_1.E__1.I,1.I
7pdt__1__1.A__1.E,1.E
7pe5__1__1.D_1.E__1.I,1.I
7pe6__1__1.A_1.B__1.F,1.F
7pfm__1__1.A_1.B__1.C,1.C
7phe__1__1.A__1.C,1.C
7pi1__1__1.A__1.F,1.F
7pj9__1__1.A__1.C,1.C
7pjk__1__1.A__1.E,1.E
7poo__1__1.A_1.B__1.G,1.G
7pox__1__1.A__1.C,1.C
7ppq__1__1.B__1.H,1.H
7pqs__1__1.A__1.C,1.C
7pqv__1__1.A__1.B,1.B
7pu8__1__1.A_1.B__1.H,1.H
7puc__1__1.C_1.D__1.I,1.I
7puq__1__1.C_1.D__1.K,1.K
7put__1__1.A__1.I,1.I
7pwd__1__1.A__1.D,1.D
7pwu__1__1.A__1.C,1.C
7pz1__1__1.A__1.D,1.D
7q2o__1__1.A_1.B__1.D,1.D
7q4f__1__1.A_1.C__1.J,1.J
7q6v__1__1.A__1.E,1.E
7q6w__1__1.A__1.E,1.E
7q7i__1__1.A__1.B,1.B
7q7k__1__1.A__1.B,1.B
7q7t__1__1.A_2.A__2.C,2.C
7q7v__1__1.A_2.A__2.B,2.B
7q8z__1__1.A__1.E,1.E
7q90__1__1.A__1.D,1.D
7qa3__1__1.A__1.C,1.C
7qaa__1__1.B__1.D,1.D
7qdt__1__1.A__1.B,1.B
7qea__1__1.A__1.C,1.C
7qei__1__1.A__1.B,1.B
7qfe__1__1.A__1.D,1.D
7qg1__1__1.A__1.C,1.C
7qg3__1__1.A__1.C,1.C
7qg5__1__1.A__1.C,1.C
7qgt__1__1.B__1.F,1.F
7qhe__1__1.A__1.I,1.I
7qhl__1__1.A__1.E,1.E
7qhz__1__1.A__1.B,1.B
7qi0__1__1.A__1.C,1.C
7qnn__1__1.A__1.C,1.C
7qrb__1__1.A__1.G,1.G
7qrc__1__1.A__1.D,1.D
7qt2__1__1.A_1.B__1.E,1.E
7qt6__1__1.A__1.B,1.B
7qty__1__1.A__1.C,1.C
7qy9__1__1.A__1.C,1.C
7qyn__1__1.B__1.O,1.O
7r02__1__1.B__1.L,1.L
7r0a__1__1.A__1.C,1.C
7r26__1__1.A__1.B,1.B
7r4a__1__1.A__1.C,1.C
7r5d__1__1.A__1.C,1.C
7r6g__1__1.A__1.C,1.C
7r7l__1__1.A__1.C,1.C
7r7r__1__1.A__1.B,1.B
7r9n__1__1.B__1.E,1.E
7r9p__1__1.A__1.C,1.C
7r9t__1__1.A__1.C,1.C
7rae__1__1.A__1.C,1.C
7raf__1__1.A__1.C,1.C
7rbw__1__1.A__1.C,1.C
7rc9__1__1.A_1.B__1.X,1.X
7rdp__1__1.A__1.B,1.B
7rf9__1__1.A_1.B__1.G,1.G
7rh1__1__1.A__1.D,1.D
7rh3__1__1.A__1.C,1.C
7rh4__1__1.A__1.C,1.C
7rke__1__1.A__1.E,1.E
7rl2__1__1.A__1.C,1.C
7rls__1__1.A_2.A__2.B,2.B
7rmb__1__1.A_2.A__2.B,2.B
7rmw__1__1.A__1.G,1.G
7rn4__1__1.A_2.A__2.B,2.B
7rnk__1__1.A_2.A__2.B,2.B
7rnm__1__1.B__1.F,1.F
7rnp__1__1.A__1.E,1.E
7rof__1__1.A__1.E,1.E
7ros__1__1.A__1.C,1.C
7rq0__1__1.A_1.B__1.L,1.L
7rrb__1__1.A__1.C,1.C
7rrc__1__1.A__1.C,1.C
7rwe__1__1.A__1.B,1.B
7rwf__1__1.A__1.C,1.C
7rxo__1__1.A__1.C,1.C
7s1c__1__1.A__1.C,1.C
7s1d__1__1.A__1.C,1.C
7s6u__1__1.A__1.B,1.B
7s6v__1__1.A__1.B,1.B
7s7t__1__1.A__1.B,1.B
7s7x__1__1.A__1.D,1.D
7s84__1__1.A__1.B,1.B
7sa0__1__1.A__1.F,1.F
7scr__1__1.E__1.K,1.K
7sdd__1__2.A__2.B,2.B
7sdr__1__1.A__1.D,1.D
7sel__1__1.A__1.C,1.C
7sez__1__1.A__1.B,1.B
7sfo__1__1.A__1.E,1.E
7shh__1__1.A__1.E,1.E
7si4__1__1.A__1.B,1.B
7si5__1__1.A__1.D,1.D
7sia__1__1.A_1.B__1.C,1.C
7siu__1__1.A__1.C,1.C
7slr__1__1.A_1.B__1.C,1.C
7sls__1__1.A_1.B__1.C,1.C
7slz__1__1.A__1.B,1.B
7snz__1__1.A_1.B__1.C,1.C
7so1__1__1.A_1.B__1.C,1.C
7sok__1__1.A__1.E,1.E
7sqe__1__1.A__1.D,1.D
7sqm__1__1.A__1.B,1.B
7sxg__1__1.A__1.C,1.C
7sxj__1__1.A__1.C,1.C
7sz3__1__1.B__1.I,1.I
7sza__1__1.A__1.E,1.E
7szb__1__1.A__1.E,1.E
7szc__1__1.A__1.F,1.F
7szr__1__1.A__1.G,1.G
7t0c__1__1.A_1.B__1.VA,1.VA
7t0f__1__1.A_1.B__1.C,1.C
7t39__1__1.A__1.B,1.B
7t5k__1__1.A__1.D,1.D
7t5x__1__1.A_1.C__1.I,1.I
7t5y__1__1.B__1.G,1.G
7t5z__1__1.A_1.C__1.I,1.I
7t60__1__1.B_1.C__1.M,1.M
7t61__1__1.B_1.C__1.L,1.L
7t6c__1__1.A__1.E,1.E
7t7m__1__1.A__1.I,1.I
7t9r__1__1.A__1.F,1.F
7tab__1__1.A__1.B,1.B
7taz__1__1.A__1.C,1.C
7tbd__1__1.A__1.E,1.E
7tbu__1__1.A__1.D,1.D
7te8__1__1.A_1.B__1.E,1.E
7tev__1__1.A_2.A__2.D,2.D
7tjo__1__1.A__1.E,1.E
7tt8__1__1.A__1.C,1.C
7tuo__1__1.A__1.B,1.B
7twu__1__1.B__1.N,1.N
7txk__1__1.A__1.C,1.C
7txp__1__1.A_2.A__2.B,2.B
7tz7__1__1.A__1.C,1.C
7tzb__1__1.A__1.C,1.C
7u0t__1__1.A_1.B__1.H,1.H
7u1m__1__1.A__1.D,1.D
7u2z__1__1.A__1.C,1.C
7u30__1__1.A__1.I,1.I
7u31__1__1.A__1.D,1.D
7u4g__1__4.A__4.E,4.E
7u4o__1__1.A__1.G,1.G
7u5z__1__1.A_1.B__1.C,1.C
7u64__1__1.A_1.B__1.S,1.S
7u70__1__1.A__1.C,1.C
7u8v__1__1.A__1.C,1.C
7u8w__1__1.A__1.C,1.C
