system_id,proper_ligand_chain
5sgt__1__1.A__1.G,1.G
5sgu__1__1.A__1.G,1.G
5sgw__1__1.A__1.G,1.G
5sgx__1__1.A__1.G,1.G
5sgz__1__1.A__1.G,1.G
5sh0__1__1.A__1.G,1.G
5sh1__1__1.A__1.G,1.G
5sh2__1__1.A__1.G,1.G
5sh6__1__1.A__1.G,1.G
5sh8__1__1.A__1.E,1.E
5shc__1__1.A__1.G,1.G
5shf__1__1.A__1.G,1.G
5shg__1__1.A__1.G,1.G
5shh__1__1.A__1.G,1.G
5shi__1__1.A__1.E,1.E
5shk__1__1.A__1.G,1.G
5shp__1__1.A__1.G,1.G
5shr__1__1.A__1.G,1.G
5shu__1__1.A__1.G,1.G
5shw__1__1.A__1.G,1.G
5shx__1__1.A__1.G,1.G
5si3__1__1.A__1.E,1.E
5si5__1__1.A__1.G,1.G
5si6__1__1.A__1.G,1.G
5si7__1__1.A__1.G,1.G
5si8__1__1.A__1.G,1.G
5si9__1__1.A__1.G,1.G
5sie__1__1.A__1.G,1.G
5sif__1__1.A__1.I,1.I
5sig__1__1.A__1.G,1.G
5sih__1__1.A__1.H,1.H
5sio__1__1.A__1.H,1.H
5sip__1__1.A__1.G,1.G
5siq__1__1.A__1.H,1.H
5sir__1__1.A__1.G,1.G
5siy__1__1.A__1.G,1.G
5siz__1__1.A__1.G,1.G
5sj1__1__1.A__1.G,1.G
5sj7__1__1.A__1.G,1.G
5sj8__1__1.A__1.G,1.G
5sjb__1__1.A__1.G,1.G
5sjc__1__1.A__1.F,1.F
5sjf__1__1.A__1.H,1.H
5sjg__1__1.A__1.G,1.G
5sjl__1__1.A__1.G,1.G
5sjo__1__1.A__1.H,1.H
5sjt__1__1.A__1.H,1.H
5sju__1__1.A__1.G,1.G
5sjv__1__1.A__1.G,1.G
5sjw__1__1.A__1.I,1.I
5sk0__1__1.A__1.G,1.G
5sk4__1__1.A__1.G,1.G
5sk5__1__1.A__1.H,1.H
5sk6__1__1.A__1.G,1.G
5sk9__1__1.A__1.G,1.G
5skd__1__1.A__1.G,1.G
5ske__1__1.A__1.G,1.G
5skf__1__1.A__1.I,1.I
5skg__1__1.A__1.G,1.G
5skh__1__1.A__1.H,1.H
5ski__1__1.A__1.G,1.G
5skl__1__1.A__1.G,1.G
5skm__1__1.A__1.G,1.G
5sko__1__1.A__1.G,1.G
5skr__1__1.A__1.G,1.G
5skt__1__1.A__1.G,1.G
5sku__1__1.A__1.G,1.G
5slg__1__1.A__1.G,1.G
5umb__1__1.A__1.E_1.F_1.G,1.G
6th4__1__1.C_1.D__1.T,1.T
6xqr__1__1.B__1.E,1.E
6z48__1__1.B__1.J,1.J
6zfz__1__1.A__1.B,1.B
6zg4__1__1.A__1.B,1.B
6zg9__1__1.A__1.B,1.B
6zk2__1__1.A_1.B__1.E_1.F,1.F
6zk5__1__1.A_1.B__1.F_1.G,1.F
6zx1__1__1.A_2.A__1.B,1.B
7a4q__1__1.A__1.B,1.B
7a9g__1__1.A_1.B__1.O_1.P,1.O
7a9h__1__1.A_1.B__1.C_1.D,1.D
7aag__1__1.A__1.G_1.H,1.G
7ab9__1__1.A__1.G_1.P,1.P
7abe__1__1.A__1.G_1.W,1.W
7abj__1__1.A__1.T,1.T
7afz__1__2.A__2.B_2.C_2.D,2.D
7ait__1__1.A__1.C,1.C
7aiu__1__1.A__1.H,1.H
7aiw__1__2.B__2.M,2.M
7an8__1__1.B__1.E,1.E
7ana__1__1.A__1.C,1.C
7au4__1__1.A_2.A__2.D,2.D
7ay9__1__1.A__1.I,1.I
7aya__1__1.A__1.H_1.N_1.U,1.U
7ayz__1__1.A__1.D,1.D
7b2u__1__1.A_1.B__1.C,1.C
7b3g__1__1.A__1.I,1.I
7b3h__1__1.A__1.H,1.H
7b3i__1__1.A__1.I,1.I
7b3p__1__1.A__1.G,1.G
7b3x__1__1.A__1.F,1.F
7b4x__1__1.A__1.M,1.M
7b6v__1__1.C_1.D__1.Y,1.Y
7b77__1__1.A_2.A__1.F,1.F
7b87__1__1.A__1.N,1.N
7b89__1__1.A__1.D,1.D
7b8a__1__1.A__1.F,1.F
7b9p__1__1.A_2.A__1.B_1.C,1.B
7bbn__1__1.B__1.E_1.F,1.E
7bc9__1__1.A__1.J,1.J
7bcf__1__1.A__1.H,1.H
7bdd__1__1.A__1.G,1.G
7bi6__1__1.A__1.B_1.G,1.B
7bis__1__1.A_2.A__2.F,2.F
7bk9__1__1.A_2.A__2.F,2.F
7blw__1__1.A__1.F,1.F
7bm3__1__1.A__1.M_1.P,1.P
7bm7__1__1.A__1.F,1.F
7bmd__1__1.A__1.G_1.R,1.R
7bn5__1__1.A__1.G,1.G
7bn7__1__1.A__1.E_1.F,1.E
7bn8__1__1.A__1.G,1.G
7bnc__1__1.A__1.K,1.K
7bo3__1__1.A__1.M_1.N,1.N
7bo7__1__1.A__1.C,1.C
7cqs__1__1.A__1.B_1.C,1.C
7dcb__1__1.A_1.B__1.C_1.D,1.D
7dcw__1__1.A_1.B__1.D,1.D
7dg4__1__1.A__1.B,1.B
7dgc__1__1.A_1.B__1.C_1.D,1.C
7dh3__1__1.A__1.B,1.B
7dh9__1__1.A__1.B,1.B
7dhn__1__1.A__1.B,1.B
7di7__1__1.A__1.D,1.D
7dia__1__1.A__1.D_1.E_1.G,1.E
7dij__1__1.A__1.F_1.J,1.J
7dji__1__1.D_1.E__1.L,1.L
7dlc__1__1.A_1.B__1.C_1.D,1.D
7dm6__1__1.A_1.B__1.C_1.D,1.D
7dmc__1__1.A__1.B_1.E_1.F,1.B
7dml__1__1.A__1.E,1.E
7dn8__1__1.B__1.I_1.J,1.J
7dnn__1__1.A_1.B__1.E,1.E
7dow__1__1.A_1.B__1.C,1.C
7dox__1__1.A_1.B__1.E_1.F,1.F
7doy__1__1.A_1.B__1.E,1.E
7dpk__1__1.A_1.B__1.C_1.D,1.C
7du9__1__1.A_1.B__1.D,1.D
7dua__1__1.B__1.D,1.D
7dut__1__2.A__2.B_2.C,2.B
7duy__1__1.A__1.B_1.C_1.D,1.D
7dva__1__1.A__1.C_1.E,1.C
7dvb__1__1.A__1.E,1.E
7dw7__1__1.A__1.B_1.JB_1.KB_1.LB,1.B
7dxl__1__1.A__1.C,1.C
7dyq__1__1.A__1.B_1.C,1.B
7dyw__1__1.A__1.B_1.C,1.B
7e1g__1__1.A__1.C_1.D,1.D
7e1n__1__1.A_1.B__1.D,1.D
7e3n__1__1.A_2.A__1.B_1.C_1.D,1.B
7e5f__1__1.A_2.A__2.B,2.B
7e5g__1__1.A_2.A__2.B,2.B
7e60__1__1.A__1.B_1.C,1.C
7eba__1__1.A__1.C,1.C
7ed1__1__1.A_1.B__1.C_1.D_1.E_1.F,1.C
7ed2__1__1.A_1.B__1.F_1.G_1.H,1.F
7ee5__1__1.A__1.H,1.H
7ef7__1__1.A__1.B_1.C,1.C
7ei4__1__1.A_1.B_1.C__1.F,1.F
7ejv__1__1.B__1.D,1.D
7ejw__1__1.A_1.B__1.I_1.J,1.I
7ekr__1__1.A__1.C,1.C
7elt__1__2.A__2.B,2.B
7ems__1__1.A__1.D,1.D
7en5__1__1.A_3.A_4.A__3.B,3.B
7en7__1__1.A_2.A_4.A__2.B,2.B
7en9__1__1.A_2.A__2.B,2.B
7end__1__1.A_2.A__2.B,2.B
7ene__1__1.A_1.B__1.E,1.E
7eqk__1__1.B__1.F_1.G,1.G
7er2__1__1.A__1.B,1.B
7es1__1__1.A__1.C,1.C
7esb__1__1.A__1.B_1.C_1.D_1.E,1.B
7esc__1__1.A__1.B_1.C,1.B
7eue__1__1.B__1.F,1.F
7euz__1__1.B__1.E_1.F,1.F
7eve__1__1.A__1.B_1.C_1.D,1.B
7ex2__1__1.A__1.C_1.D_1.E,1.E
7ex3__1__1.A__1.B_1.C_1.D,1.D
7exp__1__1.B__1.H_1.I,1.H
7exu__1__1.A__1.C,1.C
7eyt__1__1.A_1.C__1.E_1.F_1.G,1.F
7eyu__1__1.A_1.B__1.C_1.D_1.E,1.D
7ezf__1__1.B__1.G,1.G
7ezp__1__1.D__1.L,1.L
7ezq__1__2.A__2.B_2.C,2.B
7ezr__1__1.B__1.G,1.G
7f06__1__1.A__1.C,1.C
7f10__1__1.B__1.C,1.C
7f14__1__1.B__1.D,1.D
7f1u__1__1.A_1.B__1.E,1.E
7f1v__1__1.C_1.D__1.F,1.F
7f21__1__1.A__1.C_1.D,1.C
7f2k__1__1.A__1.C_1.D_1.E,1.E
7f2l__1__1.A__1.C_1.D_1.E,1.E
7f2m__1__1.A__1.C_1.D_1.E,1.E
7f2u__1__1.A__1.C_1.D_1.E,1.C
7f35__1__1.A_1.B__1.G,1.G
7f42__1__1.B__1.C,1.C
7f4c__1__1.A__1.C_1.D,1.C
7f50__1__1.A__1.B_1.C_1.E,1.E
7f51__1__1.A__1.C,1.C
7f6j__1__1.A__1.D_1.E,1.E
7f6w__1__2.A__2.B,2.B
7f7d__1__2.A__2.B,2.B
7f83__1__1.B__1.J,1.J
7f8t__1__1.A__1.L_1.M,1.M
7f8u__1__1.A__1.B,1.B
7fai__1__1.A__1.E,1.E
7faj__1__1.A__1.E,1.E
7fak__1__1.A__1.B,1.B
7faq__1__1.A__1.B_1.C_1.D_1.E,1.E
7far__1__1.A__1.B_1.C_1.D,1.D
7fcz__1__2.B__2.D,2.D
7fd0__1__1.A__1.C,1.C
7fd6__1__1.A__1.B,1.B
7fe2__1__1.A__1.E_1.I,1.E
7fee__1__1.A__1.D,1.D
7fee__1__1.A__1.E,1.E
7fgc__1__1.B__1.E,1.E
7fgd__1__1.B__1.E,1.E
7fgm__1__1.A__1.C_1.D_1.E,1.C
7fgp__1__1.A__1.C_1.G,1.C
7fha__1__1.A__1.C,1.C
7fhb__1__1.A__1.B,1.B
7fhs__1__1.A__1.E_1.G,1.E
7fis__1__1.D__1.CA_1.Y,1.Y
7fja__1__1.A__1.C_1.D,1.C
7fmg__1__1.A__1.C,1.C
7fnt__1__1.B__1.C,1.C
7fsd__1__1.A__1.I,1.I
7fti__1__1.A__1.C,1.C
7ftm__1__1.A__1.C,1.C
7ftv__1__1.A__1.C,1.C
7ftw__1__1.A__1.C,1.C
7ftz__1__1.A__1.D,1.D
7fu2__1__1.A__1.C,1.C
7fu6__1__1.A__1.C,1.C
7fu7__1__1.A__1.C,1.C
7fu8__1__1.A__1.C,1.C
7fuc__1__1.A__1.C,1.C
7fuf__1__1.A__1.C,1.C
7fum__1__1.A__1.C,1.C
7fw3__1__1.A__1.B,1.B
7fwb__1__1.A__1.B,1.B
7fwe__1__1.A__1.B,1.B
7fwh__1__1.A__1.B,1.B
7fwi__1__1.A__1.D,1.D
7fwl__1__1.A__1.B,1.B
7fwm__1__1.A__1.B,1.B
7fwn__1__1.A__1.D,1.D
7fwr__1__1.A__1.B,1.B
7fx1__1__1.A__1.B,1.B
7fxi__1__1.A__1.D,1.D
7fy8__1__1.A__1.I_1.J,1.I
7fyr__1__1.A__1.B,1.B
7fys__1__1.A__1.B,1.B
7fyx__1__1.A__1.C,1.C
7fz0__1__1.A__1.E,1.E
7fz3__1__1.A__1.B,1.B
7fzc__1__1.A__1.B,1.B
7fzl__1__1.A__1.B,1.B
7fzs__1__1.A__1.B,1.B
7g00__1__1.A__1.Q,1.Q
7g07__1__1.A__1.B,1.B
7g0g__1__1.A__1.B,1.B
7g0j__1__1.A__1.D,1.D
7g0t__1__1.A__1.B,1.B
7g10__1__1.A__1.D,1.D
7g1b__1__1.A__1.B,1.B
7g1e__1__1.A__1.C,1.C
7g1j__1__1.A__1.B,1.B
7g1m__1__1.A__1.B,1.B
7g20__1__1.A__1.B,1.B
7g90__1__1.A__1.C,1.C
7gav__1__1.A_1.B__1.E_1.I_1.J,1.I
7gaw__1__1.A_1.B__1.K,1.K
7gb6__1__1.A_2.A__1.F,1.F
7gb7__1__1.A_2.A__1.B,1.B
7gb8__1__1.A_2.A__1.F,1.F
7gbc__1__1.A_2.A__2.E,2.E
7gbd__1__1.A_2.A__2.E,2.E
7gbe__1__1.A_2.A__1.B,1.B
7gbg__1__1.A_2.A__2.E,2.E
7gbi__1__1.A_2.A__2.D,2.D
7gbo__1__1.A_2.A__1.E,1.E
7gbp__1__1.A_2.A__2.F,2.F
7gbq__1__1.A_2.A__1.E,1.E
7gbr__1__1.A_2.A__2.F,2.F
7gbs__1__1.A_2.A__1.E_1.F,1.E
7gbw__1__1.A_2.A__1.F,1.F
7gby__1__1.A_2.A__1.E,1.E
7gbz__1__1.A_2.A__2.F,2.F
7gc0__1__1.A_2.A__1.E,1.E
7gc1__1__1.A_2.A__2.E,2.E
7gc2__1__1.A_2.A__2.E,2.E
7gc3__1__1.A_2.A__2.F,2.F
7gc4__1__1.A_2.A__1.F_1.G,1.F
7gc8__1__1.A_2.A__2.E,2.E
7gcd__1__1.A_2.A__1.F_1.G,1.F
7gce__1__1.A_2.A__2.E,2.E
7gcf__1__1.A_2.A__2.E,2.E
7gcj__1__1.A_2.A__1.E,1.E
7gck__1__1.A_2.A__1.E,1.E
7gcl__1__1.A_2.A__2.F,2.F
7gcn__1__1.A_2.A__2.F,2.F
7gco__1__1.A_2.A__2.E,2.E
7gcq__1__1.A_2.A__1.F,1.F
7gcs__1__1.A_2.A__1.E,1.E
7gcu__1__1.A_2.A__1.E,1.E
7gcv__1__1.A_2.A__2.E,2.E
7gcx__1__1.A_2.A__2.E,2.E
7gd0__1__1.A_2.A__1.F,1.F
7gd1__1__1.A_2.A__1.E,1.E
7gda__1__1.A_2.A__1.D,1.D
7gdc__1__1.A_2.A__2.D,2.D
7gde__1__1.A_2.A__1.E,1.E
7gdg__1__1.A_2.A__2.F,2.F
7gdj__1__1.A_2.A__2.E,2.E
7gdk__1__1.A_2.A__2.E,2.E
7gdl__1__1.A_2.A__1.E,1.E
7gdm__1__1.A_2.A__2.E,2.E
7gdz__1__1.A_2.A__1.E,1.E
7ge2__1__1.A_2.A__2.E,2.E
7ge3__1__1.A_2.A__1.D,1.D
7ge4__1__1.A_2.A__1.E_1.F,1.F
7ge8__1__1.A_2.A__2.E,2.E
7ge9__1__1.A_2.A__1.E,1.E
7gec__1__1.A_2.A__2.E,2.E
7ged__1__1.A_2.A__1.E,1.E
7gee__1__1.A_2.A__2.E,2.E
7gef__1__1.A_2.A__1.D,1.D
7geg__1__1.A_2.A__2.E,2.E
7geh__1__1.A_2.A__2.E,2.E
7gek__1__1.A_2.A__1.E,1.E
7gem__1__1.A_2.A__1.E_1.F,1.E
7gen__1__1.A_2.A__2.E,2.E
7ges__1__1.A_2.A__2.E,2.E
7geu__1__1.A_2.A__2.E,2.E
7gew__1__1.A_2.A__1.E,1.E
7gey__1__1.A_2.A__2.E,2.E
7gf0__1__1.A_2.A__1.E,1.E
7gf2__1__1.A_2.A__2.E,2.E
7gf3__1__1.A_2.A__1.E,1.E
7gf5__1__1.A_2.A__1.E,1.E
7gf6__1__1.A_2.A__2.E,2.E
7gfb__1__1.A_2.A__2.E,2.E
7gfh__1__1.A_2.A__1.E,1.E
7gfl__1__1.A_2.A__2.E,2.E
7gfr__1__1.A_2.A__2.E,2.E
7gfs__1__1.A_2.A__2.E,2.E
7gft__1__1.A_2.A__1.E,1.E
7gfx__1__1.A_2.A__2.E,2.E
7gg2__1__1.A_2.A__2.E,2.E
7gga__1__1.A_2.A__1.E_1.F,1.E
7ggd__1__1.A__1.E,1.E
7gge__1__1.A_2.A__2.E_2.F,2.E
7ggh__1__1.A_2.A__2.E_2.F,2.E
7ggo__1__1.A_2.A__2.E_2.G,2.E
7ggq__1__1.A_2.A__2.E_2.F,2.E
7ggv__1__1.A_2.A__2.E_2.G,2.E
7ggw__1__1.A_2.A__1.E_1.F,1.E
7gh0__1__1.A_2.A__2.E_2.F,2.E
7gh1__1__1.A_2.A__2.E_2.F,2.E
7gh3__1__1.A_2.A__2.E,2.E
7gh5__1__1.A_2.A__1.B,1.B
7gh6__1__1.A_2.A__2.B,2.B
7gh7__1__1.A_2.A__1.B_1.F,1.B
7ghm__1__1.A_1.B__1.N_1.P,1.N
7ghn__1__1.A_1.B__1.N,1.N
7gho__1__1.A_1.B__1.E_1.F,1.F
7ghp__1__1.A_1.B__1.M_1.O,1.M
7ghq__1__1.A_1.B__1.D_1.E,1.E
7ghr__1__1.A_1.B__1.M,1.M
7ghs__1__1.A_1.B__1.E_1.F,1.F
7ghx__1__1.A_1.B__1.O_1.Q,1.O
7ghy__1__1.A_1.B__1.O_1.P_1.Q,1.O
7gi1__1__1.A_1.B__1.K_1.L_1.M_1.N,1.M
7gi2__1__1.A_1.B__1.E_1.F_1.H_1.J,1.F
7gi4__1__1.A_1.B__1.J,1.J
7gi6__1__1.A_1.B__1.D,1.D
7gi7__1__1.A_1.B__1.L,1.L
7gi8__1__1.A_1.B__1.R_1.U_1.V,1.R
7gi9__1__1.A_1.B__1.F,1.F
7gia__1__1.A_1.B__1.F,1.F
7gib__1__1.A_1.B__1.E_1.F,1.F
7gic__1__1.A_1.B__1.E_1.F_1.G,1.F
7gid__1__1.A_1.B__1.E_1.F,1.F
7gih__1__1.A_1.B__1.L_1.P,1.L
7gij__1__1.A_1.B__1.E_1.F,1.F
7gim__1__1.A_1.B__1.E_1.F,1.F
7gin__1__1.A_1.B__1.F_1.G,1.F
7gio__1__1.A_1.B__1.L_1.O,1.L
7gip__1__1.A_1.B__1.N_1.O,1.N
7giq__1__1.A_1.B__1.F_1.G,1.F
7gir__1__1.A_1.B__1.F_1.I,1.F
7gis__1__1.A_1.B__1.E_1.F,1.F
7git__1__1.A_1.B__1.E_1.F,1.F
7giu__1__1.A_1.B__1.K_1.L,1.K
7gix__1__1.A_1.B__1.E_1.F,1.F
7giy__1__1.A_1.B__1.E_1.F,1.F
7giz__1__1.A_1.B__1.E_1.F_1.G,1.F
7gj0__1__1.A_1.B__1.M_1.N,1.M
7gj2__1__1.A_1.B__1.E_1.F,1.F
7gj4__1__1.A_1.B__1.E_1.F,1.F
7gj6__1__1.A_1.B__1.E_1.F,1.F
7gj8__1__1.A_1.B__1.E_1.F,1.F
7gjb__1__1.A_1.B__1.E_1.F_1.H,1.F
7gjc__1__1.A_1.B__1.E,1.E
7gjd__1__1.A_1.B__1.E_1.F,1.F
7gjf__1__1.A_1.B__1.E_1.F,1.F
7gjg__1__1.A_1.B__1.E_1.F,1.F
7gji__1__1.A_1.B__1.L,1.L
7gjk__1__1.A_1.B__1.E_1.F,1.F
7gjl__1__1.A_1.B__1.D_1.E,1.E
7gjm__1__1.A_1.B__1.E_1.F_1.H,1.F
7gjp__1__1.A_1.B__1.E_1.F,1.F
7gjq__1__1.A_1.B__1.E_1.F,1.F
7gjv__1__1.A_1.B__1.J_1.K,1.J
7gjx__1__1.A_1.B__1.E_1.J,1.J
7gjy__1__1.A_1.B__1.H_1.I,1.H
7gjz__1__1.A_1.B__1.I_1.K,1.I
7gk0__1__1.A_1.B__1.E_1.J,1.J
7gk1__1__1.A_1.B__1.D_1.I,1.I
7gk2__1__1.A_1.B__1.E_1.J,1.J
7gk3__1__1.A_1.B__1.E_1.J,1.J
7gk6__1__1.A_1.B__1.E_1.J,1.J
7gk7__1__1.A_1.B__1.H,1.H
7gk8__1__1.A_1.B__1.H,1.H
7gk9__1__1.A_1.B__1.M_1.O,1.M
7gka__1__1.A_1.B__1.E_1.J,1.J
7gkc__1__1.A_1.B__1.E_1.J,1.J
7gke__1__1.A_1.B__1.E_1.J,1.J
7gkf__1__1.A_1.B__1.E_1.J,1.J
7gkg__1__1.A_1.B__1.E_1.J,1.J
7gkh__1__1.A_1.B__1.J,1.J
7gki__1__1.A__1.I,1.I
7gkj__1__1.A_1.B__1.E_1.J_1.K,1.J
7gkk__1__1.A_1.B__1.O,1.O
7gkm__1__1.A_1.B__1.I_1.J,1.I
7gkn__1__1.A_1.B__1.Q_1.S_1.T,1.Q
7gko__1__1.A_1.B__1.I_1.J,1.I
7gkp__1__1.A_1.B__1.D_1.I_1.J,1.I
7gkq__1__1.A_1.B__1.E_1.J,1.J
7gks__1__1.A_1.B__1.H,1.H
7gkt__1__1.A_1.B__1.E_1.J,1.J
7gkw__1__1.A_1.B__1.E_1.J,1.J
7gkx__1__1.A_1.B__1.I,1.I
7gkz__1__1.A_1.B__1.E_1.J,1.J
7gl1__1__1.A_1.B__1.D_1.I,1.I
7gl2__1__1.A_1.B__1.H_1.I,1.H
7gl3__1__1.A_1.B__1.H,1.H
7gl5__1__1.A_1.B__1.D_1.I_1.K,1.I
7gl6__1__1.A_1.B__1.E_1.J,1.J
7gl7__1__1.A_1.B__1.E_1.J,1.J
7gla__1__1.A_1.B__1.I,1.I
7glb__1__1.A_1.B__1.N,1.N
7gld__1__1.A_1.B__1.H,1.H
7glg__1__1.A_1.B__1.H,1.H
7gli__1__1.A_1.B__1.L,1.L
7gln__1__1.A_1.B__1.I,1.I
7glo__1__1.A_1.B__1.E_1.J,1.J
7glq__1__1.A_1.B__1.E_1.J,1.J
7glw__1__1.A_1.B__1.E_1.J_1.K,1.K
7gly__1__1.A_1.B__1.I,1.I
7gm0__1__1.A_1.B__1.N,1.N
7gm1__1__1.A_1.B__1.I,1.I
7gm3__1__1.A_1.B__1.D_1.I,1.I
7gm4__1__1.A_1.B__1.I,1.I
7gm5__1__1.A_1.B__1.I,1.I
7gm6__1__1.A_1.B__1.N,1.N
7gm8__1__1.A_1.B__1.I,1.I
7gm9__1__1.A_1.B__1.I,1.I
7gma__1__1.A_1.B__1.J,1.J
7gmb__1__1.A_1.B__1.D_1.I,1.I
7gmh__1__1.A_1.B__1.O,1.O
7gmi__1__1.A_1.B__1.D_1.I,1.I
7gmj__1__1.A_1.B__1.E_1.J_1.K,1.K
7gmk__1__1.A_1.B__1.E_1.J,1.J
7gml__1__1.A_1.B__1.E_1.J,1.J
7gmm__1__1.A_1.B__1.E_1.J,1.J
7gmo__1__1.A_1.B__1.E_1.J,1.J
7gmp__1__1.A_1.B__1.D_1.I,1.I
7gmq__1__1.A_1.B__1.D_1.I,1.I
7gms__1__1.A_1.B__1.I,1.I
7gmu__1__1.A_1.B__1.I,1.I
7gmw__1__1.A_1.B__1.E_1.J,1.J
7gmy__1__1.A_1.B__1.I,1.I
7gn0__1__1.A_1.B__1.I,1.I
7gn4__1__1.A_1.B__1.E_1.J,1.J
7gn5__1__1.A_1.B__1.I,1.I
7gn8__1__1.A_1.B__1.I_1.J,1.I
7gn9__1__1.A_1.B__1.O,1.O
7gnb__1__1.A_1.B__1.M_1.O,1.M
7gnc__1__1.A_1.B__1.E_1.J,1.J
7gnd__1__1.A_1.B__1.E_1.J,1.J
7gnf__1__1.A_1.B__1.P_1.R,1.P
7gng__1__1.A_1.B__1.Q,1.Q
7gnh__1__1.A_1.B__1.M,1.M
7gni__1__1.A_1.B__1.E_1.J_1.K,1.J
7gnk__1__1.A_1.B__1.T,1.T
7gnl__1__1.A_1.B__1.N,1.N
7gnm__1__1.A_1.B__1.S,1.S
7gnn__1__1.A_1.B__1.I,1.I
7gno__1__1.A_1.B__1.P_1.S,1.P
7gnp__1__1.A_1.B__1.H_1.J,1.H
7gnq__1__1.A_1.B__1.G_1.I_1.L,1.G
7gnr__1__1.A_1.B__1.E_1.J,1.J
7gns__1__1.A_1.B__1.H_1.J,1.H
7gnt__1__1.A_1.B__1.N_1.O,1.O
7gnu__1__1.A_1.B__1.O_1.Q,1.O
7grr__1__1.A__1.D,1.D
7grs__1__1.B__1.Q,1.Q
7grt__1__1.A__1.C_1.E_1.I,1.C
7grw__1__1.B__1.M_1.N,1.M
7gs0__1__1.A_1.B__1.D,1.D
7h1j__1__1.B__1.E,1.E
7jhq__1__2.D__2.Q,2.Q
7jni__1__1.A__1.C,1.C
7jty__1__1.A__1.E_1.J,1.E
7jxa__1__1.C__1.I,1.I
7jyd__1__1.A__1.C,1.C
7k4g__1__1.B__1.J_1.K_1.L,1.L
7k4h__1__1.F__1.V_1.W_1.X,1.X
7k4i__1__1.B__1.J_1.K_1.L,1.L
7k4j__1__1.E__1.S_1.T_1.U,1.U
7k5v__1__1.A__1.C,1.C
7kad__1__1.A__1.E_1.F,1.E
7kb6__1__1.A__1.OA_1.Q_1.R,1.OA
7kb8__1__1.A__1.E,1.E
7kbj__1__1.B_1.C__1.L_1.M_1.O,1.O
7kbr__1__1.B_1.C__1.EA_1.IA_1.N,1.IA
7kgy__1__2.C_2.D__2.J,2.J
7kh4__1__1.A_1.F__1.G_1.W,1.G
7kkh__1__1.A_1.B__1.D,1.D
7knr__1__1.A__1.B_1.C_1.D,1.D
7ko6__1__1.A__1.D,1.D
7kop__1__1.A__1.B_1.C_1.D,1.D
7kry__1__1.A__1.E_1.F,1.E
7kxz__1__1.A__1.C,1.C
7l1j__1__1.A_1.B__1.E_1.G,1.E
7l1p__1__1.A_1.B__1.C,1.C
7l2y__1__1.A_2.A__1.J,1.J
7l3m__1__1.A__1.B_1.D_1.E_1.F_1.G,1.E
7l8o__1__1.A__1.G_1.H,1.G
7l91__1__3.A__3.B_3.C_3.D,3.D
7l9g__1__1.A__1.B_1.D,1.D
7lbv__1__1.A__1.B,1.B
7ldy__1__1.A_1.B__1.H,1.H
7le3__1__1.A_1.B__1.C,1.C
7le5__1__1.A_1.B__1.H,1.H
7le6__1__1.A_1.B__1.C,1.C
7lff__1__1.A__1.C_1.D,1.C
7lk0__1__1.A_2.A__1.D,1.D
7lm4__1__1.A__1.B_1.C_1.D,1.D
7lnh__1__2.A_2.B__2.E,2.E
7lp0__1__1.A__1.C,1.C
7lpk__1__1.A__1.C,1.C
7lpw__1__1.A_1.B__1.G,1.G
